id_produto,nome_produto,categoria_produto,preco_produto,fornecedor_produto,peso_kg_produto,estoque_produto,produto_ativo,data_cadastro_produto,faixa_preco_produto,status_estoque_produto,total_pedidos,quantidade_vendida,receita_total_produto,ticket_medio_produto,data_primeira_venda,data_ultima_venda,pedidos_aprovados,pedidos_recusados,pedidos_processando,pedidos_reembolsados,total_avaliacoes,nota_media_produto,nps_medio_produto,taxa_recomendacao_produto,data_ultima_avaliacao,total_tickets_produto,tempo_medio_resolucao_produto,total_eventos_produto,total_sessoes_produto,total_pageviews_produto,total_add_carrinho_produto,total_eventos_compra_produto,data_ultimo_evento_produto,status_comercial_produto,produto_com_alto_volume_suporte
PROD-0340,Capa de Chuva para Carro,Automotivo,248.0,Automotivo Import,21.9,479,False,2018-09-23,Alto,Estoque Normal,295,783.0,152190.05999999988,580.878091603053,2023-01-15,2026-05-18,271,11,9,4,138,3.717391304347826,7.4855072463768115,0.78261,2026-05-28,22,131.47368421052633,526,524,331,98,7,2026-03-26 06:59:39,Produto Destaque,True
PROD-0300,Kit Barba Completo,Beleza,158.0,Beauty Import Brasil,0.83,0,False,2023-03-04,Medio,Sem Estoque,306,781.0,96861.82999999993,342.2679505300351,2023-01-04,2026-05-31,282,16,1,7,143,3.6363636363636362,7.244755244755245,0.76224,2026-07-21,21,110.7,506,506,329,93,5,2026-03-25 16:13:26,Produto Destaque,True
PROD-0371,Pastilha de Freio Kit,Automotivo,208.0,Peças & Cia Distribuidora,21.7,164,True,2020-02-03,Alto,Estoque Normal,269,745.0,119722.70000000001,482.7528225806452,2023-01-06,2026-05-29,237,19,6,7,123,3.5772357723577235,6.983739837398374,0.73171,2026-06-18,23,147.94736842105263,518,517,357,72,8,2026-03-28 17:43:29,Produto Destaque,True
PROD-0166,Umidificador de Ar,Casa,,Decor Import,5.56,33,False,2019-12-12,Nao Informado,Estoque Normal,562,1539.0,114292.14000000007,224.10223529411778,2023-01-02,2026-05-27,508,29,7,18,280,3.6607142857142856,7.260714285714286,0.74286,2026-06-16,59,112.98245614035088,550,549,343,98,9,2026-03-27 19:30:25,Produto Destaque,True
PROD-0469,Comoda 3 Gavetas,Móveis,,MoveisPlus Distribuidora,23.07,299,False,2026-03-05,Nao Informado,Estoque Normal,621,1709.0,135261.53999999998,234.42207972270361,2023-01-07,2026-05-12,568,31,5,17,305,3.685245901639344,7.324590163934427,0.75082,2026-06-06,44,115.5813953488372,532,528,352,82,12,2026-03-28 23:53:58,Produto Destaque,True
PROD-0147,Cortina Blackout 2 Peças,Casa,178.0,Decor Import,10.92,0,True,2019-01-30,Medio,Sem Estoque,299,838.0,113095.82999999994,415.7934926470586,2023-01-09,2026-05-29,268,16,3,12,161,3.6459627329192545,7.149068322981367,0.73292,2026-06-04,28,122.89285714285714,518,517,333,85,5,2026-03-26 08:38:32,Produto Destaque,True
PROD-0194,Bola de Futebol Profissional,Esportes,129.0,SportsBrasil Atacado,7.81,138,True,2018-09-10,Medio,Estoque Normal,291,798.0,76027.07000000004,292.41180769230783,2023-01-03,2026-05-29,264,16,2,9,159,3.6666666666666665,7.088050314465409,0.71698,2026-06-30,25,103.79166666666667,586,582,378,111,14,2026-03-25 14:25:09,Produto Destaque,True
PROD-0467,Criado Mudo,Móveis,464.0,MoveisPlus Distribuidora,17.6,481,True,2024-11-09,Alto,Estoque Normal,132,365.0,127123.41000000003,1068.2639495798321,2023-01-02,2026-05-01,118,6,3,5,68,3.426470588235294,6.661764705882353,0.64706,2026-05-31,6,138.16666666666666,548,544,346,96,7,2026-03-27 21:22:28,Produto Destaque,False
PROD-0510,Suporte para Moto,Automotivo,107.0,Automotivo Import,2.61,241,True,2022-02-14,Medio,Estoque Normal,299,804.0,66268.17000000003,244.5319926199263,2023-01-06,2026-05-28,283,9,1,6,155,3.8193548387096774,7.670967741935484,0.81935,2026-07-21,19,123.0,0,0,0,0,0,,Produto Destaque,False
PROD-0256,Chapinha Profissional,Beleza,303.0,Beleza Total Atacado,1.29,0,True,2021-12-18,Alto,Sem Estoque,126,352.0,85242.23999999996,722.3918644067793,2023-01-17,2026-05-29,113,8,1,4,58,3.706896551724138,7.103448275862069,0.74138,2026-07-01,13,113.15384615384616,477,475,310,89,4,2026-03-24 07:11:00,Produto Destaque,False
PROD-0335,Caixa de Som Automotiva,Automotivo,240.0,AutoPeças Brasil Ltda,19.77,91,False,2025-02-22,Alto,Estoque Normal,289,802.0,157983.18000000008,596.1629433962268,2023-01-01,2026-05-30,252,17,4,16,137,3.7007299270072993,7.416058394160584,0.77372,2026-06-24,25,119.81818181818181,499,498,307,90,11,2026-03-26 17:03:21,Produto Destaque,True
PROD-0116,Bermuda de Ciclismo,Vestuário,184.0,Moda Brasil Atacado,0.96,20,True,2018-09-28,Medio,Estoque Normal,301,838.0,109450.85999999996,406.8805204460965,2023-01-04,2026-05-23,277,14,1,9,134,3.8059701492537314,7.522388059701493,0.82090,2026-06-17,28,107.34615384615384,507,507,309,96,2,2026-03-28 10:25:27,Produto Destaque,True
PROD-7777,teste de teste,Outros,100.0,testando,,100,True,,Medio,Estoque Normal,0,0.0,0.0,,,,0,0,0,0,0,,,,,0,,0,0,0,0,0,,Sem Venda,False
PROD-0045,Hub USB 7 Portas,Eletrônicos,,Shenzhen Connect Brasil,3.49,177,False,2019-02-21,Nao Informado,Estoque Normal,1692,4735.0,357696.6900000001,230.62326885880086,2023-01-01,2026-05-31,1491,77,23,101,852,3.5492957746478875,6.910798122065728,0.71479,2026-07-24,347,113.25856697819314,486,485,324,80,7,2026-03-22 00:41:34,Produto Destaque,True
PROD-0416,Kit Ferramentas Infantil,Brinquedos,63.0,Brinquedos do Brasil Ltda,1.92,457,True,2020-10-09,Medio,Estoque Normal,587,1771.0,80267.99999999999,152.60076045627375,2023-01-04,2026-05-18,530,37,9,11,313,3.6453674121405752,7.210862619808307,0.75719,2026-06-06,60,114.12280701754386,500,499,307,95,10,2026-03-21 07:56:30,Produto Destaque,True
